sales_person,sales_department,amount,quantity,street,city,state,item_id,date
Linn Becerra,Department B,$72.64,81,6520 Ridgeway Road,Bethlehem,Pennsylvania,4c971e7a0414b0f61a2b30cf9fda274f,6/27/2017
Linn Becerra,Department B,$22.48,59,329 Golden Leaf Alley,Paterson,New Jersey,1b5db6f37413ef5df747b8c87ec43f9a,7/14/2017
Nell Lindup,Department C,$62.90,17,99 Banding Street,Charlotte,North Carolina,f3fe6d3d22a879be68398fc573f101e5,3/4/2016
Jacquette Oakley,Department C,$32.90,40,57792 Ridge Oak Plaza,Garland,Texas,b07e4a66f664758d5138731f4c7af1f6,4/16/2016
Shane Simkins,Department B,$25.80,14,3 Oxford Crossing,Amarillo,Texas,7b6e1a524541a0c869dbdb77e1bea317,11/28/2016
Rutherford Kermath,Department D,$57.05,58,9050 Ilene Point,Dallas,Texas,4ca02c33fcb6100be9b16c86ca40a0b5,1/17/2016
Ignacio Arpur,Department A,$49.30,51,30 Sutherland Crossing,Rochester,New York,3e8651b53abe30535cb11a2a79a3ee0c,8/23/2016
Atlante Harower,Department D,$32.00,74,665 Nelson Circle,Trenton,New Jersey,ad49dec7e60bb8a01a03930c51374781,1/6/2016
Modesty Berringer,Department D,$77.22,46,92 Mccormick Plaza,Zephyrhills,Florida,09d37a758e5e22c10f767a06ba17b652,1/27/2017
Jacquette Oakley,Department C,$8.95,32,473 Stone Corner Way,South Bend,Indiana,d927074ac539f658ec39ffa3aab743ef,7/28/2017
Shena Reeson,Department B,$59.05,22,5286 Dorton Terrace,Kansas City,Missouri,a644e6144d5dc46726a5cdae84c2258a,8/16/2017
Jacquette Oakley,Department C,$67.53,35,6 Harper Center,Spokane,Washington,5031437c79909b5b0ff1933923bc0d59,2/5/2016
Zebedee Kedge,Department A,$13.73,41,685 Northfield Lane,Ocala,Florida,5aeb762bf0a5c3b7be261e50ed2f48b2,4/14/2017
Chad Yeatman,Department A,$73.23,65,3044 Kedzie Street,Norcross,Georgia,942f4bebf2211268f89c435fa0767abd,2/12/2016
Rutherford Kermath,Department D,$51.22,19,464 Anniversary Pass,Tyler,Texas,a929ccc92333922acbba7fa88eb37cf0,2/16/2017
Powell Amorts,Department B,$68.89,17,103 Lakewood Gardens Street,Portland,Oregon,999aaa98617624559e46e61a70e6bd1f,6/27/2017
Zaneta Delmage,Department B,$16.13,84,6 South Drive,Memphis,Tennessee,f2060711ee2f7c53bd1a5f652c534606,4/30/2017
Jacquette Oakley,Department C,$51.61,98,91 La Follette Way,Miami,Florida,d82bbae798c3c6a4b98bb6e6c8cf16b2,1/20/2016
Ignacio Arpur,Department A,$25.14,65,7 Fulton Alley,Wilmington,North Carolina,e7449fb32d23224ba6088ffc04a4dd43,7/26/2017
Modesty Berringer,Department D,$32.65,41,73874 North Center,San Antonio,Texas,aef7c4ae520d3f52676e48f302c4d005,7/22/2016
Gothart Whimpenny,Department C,$84.59,98,2 Canary Circle,Tallahassee,Florida,7833a96c2ba912d748eae9db26e38304,10/20/2016
Krystle Boothe,Department D,$68.16,1,24363 Nancy Pass,Reading,Pennsylvania,531f3d9bc4fa568dbc0749daaab6530c,3/26/2017
Shena Reeson,Department B,$41.07,68,032 Bashford Hill,Albuquerque,New Mexico,a85aebedd1a2872119ba0bb533bc7019,8/24/2017
Zebedee Kedge,Department A,$94.84,5,1155 Lakewood Gardens Alley,Houston,Texas,f97893e61d8ef7ea1904ba426ce1c60a,5/10/2016
Bartholemy Kment,Department B,$33.65,93,326 Ilene Crossing,Chico,California,f364b247ed73579983e73dd803a3f706,10/23/2016
Krystle Boothe,Department D,$24.87,81,2946 Autumn Leaf Park,Baltimore,Maryland,3df532459260ae534b59ff1b9ffc6c38,7/10/2017
Chad Yeatman,Department A,$25.40,33,372 Lerdahl Circle,Wichita,Kansas,8d81584750cead8e400f723a0c05f9ad,7/25/2016
Atlante Harower,Department D,$75.35,89,5 Dennis Crossing,El Paso,Texas,2c86dac7efe44d4ff28d156b3e5f7445,3/13/2016
Dallas Le,Department B,$35.91,40,54 Dahle Pass,Schenectady,New York,52f45ef7417bff2346bef4f220e763b6,2/24/2016
Shane Simkins,Department B,$17.41,75,838 Starling Avenue,Milwaukee,Wisconsin,f862da904cf1e9b174421cd03b7c4cde,4/27/2016
Atlante Harower,Department D,$88.42,2,0646 Vernon Lane,Baltimore,Maryland,a9d5bdd131fb6fa9334dad669531c8b4,3/27/2017
Dallas Le,Department B,$74.55,26,46 Golf Course Park,Washington,District of Columbia,b5fc630baba6f98ee1e395ac0d5768b9,6/11/2016
Atlante Harower,Department D,$20.64,88,4 Messerschmidt Way,Winston Salem,North Carolina,f7fb42cbce975157d11eb92c0fa8e087,8/6/2016
Ortensia Le,Department C,$63.86,100,93378 Morning Pass,Memphis,Tennessee,4de7f956319525bbb91fd236c7c97ff8,4/28/2017
Nell Lindup,Department C,$22.62,34,49 Eastwood Lane,Louisville,Kentucky,c84c843bd3340b53d45736d07a40f83c,3/25/2016
Jacquette Oakley,Department C,$77.29,48,1 Memorial Street,Saint Petersburg,Florida,920f84fa11d33526d5998ff671bde3e3,7/24/2017
Zaneta Delmage,Department B,$76.63,58,331 Forster Drive,Wilmington,Delaware,73d50effa9b5afe35cf2dc2a5e00355b,8/24/2017
Powell Amorts,Department B,$84.75,31,2879 Rutledge Park,Houston,Texas,77de897d690c178deaf6aa8df5a47a61,1/24/2016
Ashleigh Baudinot,Department D,$97.39,85,96043 Kennedy Circle,Seattle,Washington,b3af3fbde8914e05aa5c14b5cc2048f8,8/11/2017
Chad Yeatman,Department A,$23.68,80,60 Reinke Center,Brooklyn,New York,504ff6d0ade186435a731b371de6ab75,10/5/2016
Shane Simkins,Department B,$81.47,56,044 Utah Trail,Boca Raton,Florida,78c1cace1c73b9f22a0e0b5d6a7847e0,5/15/2017
Dallas Le,Department B,$24.08,47,9 Springview Court,Saint Paul,Minnesota,e53248a6eba48fdcddf1162bd958c0f4,12/29/2016
Celestyna Erskine,Department C,$51.42,2,48 Brown Drive,Melbourne,Florida,b6568dd44da1050cd3a9cc5bbef2ef3f,2/26/2017
Chad Yeatman,Department A,$90.23,3,70995 Clemons Point,Richmond,Virginia,1a4de470c374640004d1b1974a07031e,11/4/2016
Ortensia Le,Department C,$35.64,99,270 Fulton Crossing,Oakland,California,1c8f899881d345420b15f8762f2b7c1d,4/28/2016
Zebedee Kedge,Department A,$69.71,35,9283 Sutteridge Avenue,Bakersfield,California,9c3f085c57052d5c294eee85054999cd,4/4/2016
Krystle Boothe,Department D,$19.18,20,924 Derek Court,Shawnee Mission,Kansas,c6017b06c59c69180facdf6c4aa5a160,8/10/2017
Rutherford Kermath,Department D,$30.81,6,301 Glacier Hill Parkway,Norfolk,Virginia,32f8e4492aa5321dab47e9a2d9a08e7e,5/7/2016
Gothart Whimpenny,Department C,$50.17,26,7 Sutherland Drive,Naples,Florida,fe5ab57ddfd6fe424ed71ab8755c85e8,6/1/2017
Krystle Boothe,Department D,$19.03,1,281 Corben Parkway,Sioux City,Iowa,068110a0883195bd4bd7d9a1095fa818,11/24/2016
Celestyna Erskine,Department C,$5.11,96,9 Prairie Rose Plaza,Laurel,Maryland,66ecda0029b713aa5c376ae380297b21,7/23/2016
Gothart Whimpenny,Department C,$41.52,35,24 Shasta Park,Fresno,California,cd97b3a5c03e5a14984dd5d8c368e328,4/22/2017
Dallas Le,Department B,$6.64,90,91 Lukken Crossing,El Paso,Texas,f420d0004afea1fba4066f6d2ace0236,4/2/2016
Linn Becerra,Department B,$45.77,37,57 Granby Alley,Denver,Colorado,64b88d3ea6dfb65d19e96d251e206102,6/9/2017
Zebedee Kedge,Department A,$61.47,40,2517 Ridgeway Parkway,Tacoma,Washington,1487c554df296cb1c66b8a9975cd2135,3/4/2016
Atlante Harower,Department D,$66.94,56,28 Jay Avenue,Dayton,Ohio,97d8a0a1316b0f325814d711fe1f5f97,4/6/2016
Ashleigh Baudinot,Department D,$54.04,67,7 Grover Lane,Harrisburg,Pennsylvania,8193cc044ff2179c0309a37be1837e78,12/29/2016
Ashleigh Baudinot,Department D,$34.00,32,3 Doe Crossing Drive,Washington,District of Columbia,e1402b2c490e960d2ea94bc60570666b,3/23/2017
Shane Simkins,Department B,$14.20,86,364 Nobel Plaza,San Francisco,California,5b8bad1078af25fe8ee478b9694a8f01,12/15/2016
Ignacio Arpur,Department A,$28.11,21,46518 Comanche Center,Dallas,Texas,5c3657ff7f3efe553e3f6b0e87400b46,6/14/2016
Ashleigh Baudinot,Department D,$67.01,81,937 Schmedeman Hill,Melbourne,Florida,d296319d86f1ebc660820c720841d1df,5/1/2016
Zaneta Delmage,Department B,$11.81,5,988 Rockefeller Parkway,Clearwater,Florida,94dafaab146202d90ca5b8eb62851512,3/22/2017
Shane Simkins,Department B,$43.18,16,956 Mayer Park,Winston Salem,North Carolina,d7ba1538ecd3e3d9dbaba951ca1cf555,6/12/2016
Zaneta Delmage,Department B,$5.75,79,5934 Grim Terrace,Minneapolis,Minnesota,34623b58435ea658e7be6d9d9cd5f304,10/10/2016
Jacquette Oakley,Department C,$32.82,7,0313 Monica Pass,Crawfordsville,Indiana,3b2ff9f50e8acff9b3b36376b1f142d0,2/15/2017
,,,89,32 Grayhawk Junction,Erie,Pennsylvania,cf24915f81429223f451cf649a97ea0e,6/23/2017
Bartholemy Kment,Department B,$14.76,9,30 Clyde Gallagher Terrace,Tucson,Arizona,29812be7368b02229ea8d8b80b208827,7/19/2016
Gothart Whimpenny,Department C,$76.49,30,754 Bunker Hill Center,Tacoma,Washington,0c30424273440497749c918305d62508,3/12/2017
Atlante Harower,Department D,$60.07,42,88791 Sutherland Pass,San Francisco,California,155d0665b484f305c8bf480d5085b611,12/23/2016
Chad Yeatman,Department A,$5.53,66,2 Sundown Parkway,Washington,District of Columbia,853c771565f212ff17e6ff626d2a30ee,6/20/2016
Brear Fairs,Department D,$93.06,76,7 Holy Cross Trail,Peoria,Arizona,cd398a52f9f6bcb92aeb54f0ea00902d,3/27/2017
Brear Fairs,Department D,$85.07,95,2 Eagan Way,Salt Lake City,Utah,b0f34469ab2b561761b53883d4cebfd9,2/5/2017
Krystle Boothe,Department D,$95.77,14,7403 Artisan Plaza,Columbus,Ohio,59a28e257a13ff34a91b577d043e2db0,3/23/2016
Gothart Whimpenny,Department C,$11.65,42,67360 Wayridge Junction,Nashville,Tennessee,b01902c68fb081888ebce555b8f5f37e,10/30/2016
Gothart Whimpenny,Department C,$0.70,34,50267 Northport Parkway,Lehigh Acres,Florida,770ff69368258932f588f4f6342c041b,1/16/2017
Modesty Berringer,Department D,$9.48,44,825 Stuart Park,Canton,Ohio,66b170337704915b8b7c360ece365254,11/2/2016
Gothart Whimpenny,Department C,$16.79,8,1 Arapahoe Place,Austin,Texas,3e779e96c8a6d414ed3da5b1abc35cb8,9/1/2016
Jacquette Oakley,Department C,$91.24,90,063 Reinke Parkway,Erie,Pennsylvania,715c063ab918b590c98d97d36cc46fe2,2/11/2016
Krystle Boothe,Department D,$37.32,13,66232 Twin Pines Hill,Milwaukee,Wisconsin,0c405ccad2f047b4b7dfb89826f34b0d,3/26/2017
Powell Amorts,Department B,$80.64,62,38135 Mifflin Plaza,Fort Worth,Texas,6e45531c5809fb53178897d287aab18a,10/21/2016
Chad Yeatman,Department A,$47.48,25,09 Norway Maple Avenue,San Bernardino,California,164b3c648fd29edf47ac9dd456acf32b,1/7/2016
Powell Amorts,Department B,$93.64,52,584 Continental Center,Atlanta,Georgia,9dccdc16d847530158d9b66d96a34d11,12/12/2016
Chad Yeatman,Department A,$6.01,50,2 Lighthouse Bay Crossing,New Bedford,Massachusetts,166372759c06ea9a2431687ab670c688,2/25/2017
Linn Becerra,Department B,$48.25,55,1 Heffernan Court,Topeka,Kansas,d685547d93b565f5234d06d16f0cde36,9/16/2016
Celestyna Erskine,Department C,$10.66,84,74 Nobel Point,Portland,Oregon,13b9d4f78f5641258c31f5e2ae5bf1e7,1/6/2016
Zaneta Delmage,Department B,$69.62,14,056 Golden Leaf Lane,Erie,Pennsylvania,f2a3484e10db10d4b25f8bd8c038d10f,6/29/2017
Nell Lindup,Department C,$85.95,10,586 Charing Cross Point,Stamford,Connecticut,5fe0874cb601068c7483c9176b97616e,6/12/2016
Powell Amorts,Department B,$50.43,38,1 Village Green Circle,Philadelphia,Pennsylvania,5174d766724e21b51f0b776b383b3210,8/10/2016
Krystle Boothe,Department D,$85.98,81,28 Waywood Court,Atlanta,Georgia,69808b45e874bba91ec5d5aa6d33ac62,1/26/2017
Jacquette Oakley,Department C,$44.82,14,49228 Maple Street,Amarillo,Texas,220d5392e1973156725c6559f466602b,12/2/2016
Chad Yeatman,Department A,$27.05,79,828 Browning Way,Monticello,Minnesota,3e9d6c1601aab707ef7aaab88fd60da9,4/21/2016
Zaneta Delmage,Department B,$75.57,37,072 Fieldstone Court,Washington,District of Columbia,365fda71233093a38770acc3785a3447,7/9/2017
Bartholemy Kment,Department B,$67.63,46,27234 Sunnyside Point,New York City,New York,3e875b1e965dd197dee41caec4f8e695,8/10/2016
Celestyna Erskine,Department C,$61.03,77,586 Corben Plaza,Irving,Texas,bde40290bf1e44ca1944f2eb273d638f,7/13/2017
Ortensia Le,Department C,$16.33,92,6011 Prairie Rose Pass,Duluth,Georgia,c8467c0aecac99aa053522b5801d4893,11/2/2016
Shane Simkins,Department B,$26.63,76,007 Dwight Point,Terre Haute,Indiana,fd0c6138271aa6c24633a3c75553560d,9/20/2016
Shena Reeson,Department B,$90.77,25,27 East Alley,Wichita,Kansas,f600d001bdc8e400cb458cac8b1bcdf1,6/15/2017
Jacquette Oakley,Department C,$29.05,25,648 Talisman Avenue,El Paso,Texas,4b1f9a393b8221cad1e8d9b164940843,8/12/2017
Bartholemy Kment,Department B,$90.56,44,7 Hanover Drive,Salinas,California,302782f6e4b72142cd70e18dd6b42f2e,5/24/2016
Shena Reeson,Department B,$5.65,91,30 Carey Plaza,Sacramento,California,fcc92af6f009863811566efa64cea9ac,1/27/2017
Dallas Le,Department B,$64.24,21,05 Scofield Lane,Elizabeth,New Jersey,be33be7dcb398a0fa2f7687d9ec1ba1a,11/15/2016
Chad Yeatman,Department A,$63.12,8,06448 Coolidge Road,Silver Spring,Maryland,1f90cace5991f3bf93490bd4d921ac9c,1/14/2016
Nell Lindup,Department C,$72.49,95,6404 Carey Junction,Honolulu,Hawaii,990996c41b1bf59020cd6e0915a66409,8/9/2017
Shena Reeson,Department B,$79.47,93,235 Moulton Center,Yonkers,New York,3c8c626f0bdfc244c00696fe74d70492,5/28/2016
Shena Reeson,Department B,$56.96,10,4870 Morningstar Road,Independence,Missouri,5d0cfe6647e9925996865380ee7aa23c,1/27/2017
Chad Yeatman,Department A,$3.37,18,74 Schlimgen Plaza,Waltham,Massachusetts,65537f6d5e85199ab8affd008ae45a73,12/22/2016
Brear Fairs,Department D,$1.66,74,7 Waywood Park,Memphis,Tennessee,6958c2bd6de030ede71199d0a2369495,6/21/2017
Gothart Whimpenny,Department C,$3.73,67,71721 Heath Hill,Denver,Colorado,6ea167b510c2dc1edc5e65e304694bc8,4/24/2016
Powell Amorts,Department B,$23.90,67,04365 Melby Junction,Mesa,Arizona,2d11c155c18dc546953509302dfa750b,12/11/2016
Nell Lindup,Department C,$6.51,87,816 Pankratz Avenue,Washington,District of Columbia,45ee834d1cb4e6ec86d7a02e91ce384e,3/20/2017
Ortensia Le,Department C,$5.47,66,584 Kensington Pass,Spokane,Washington,88b245e956617c06c54f3ceefc68f2c4,8/6/2016
Ashleigh Baudinot,Department D,$5.88,93,1526 Ronald Regan Trail,Knoxville,Tennessee,39c307377ab66f18cd8987d23476675c,5/26/2017
Ashleigh Baudinot,Department D,$70.49,72,46163 Muir Road,San Antonio,Texas,5d0938f442ffce4a9f1a94c4df97638a,2/24/2017
Ignacio Arpur,Department A,$56.55,42,0510 Morning Drive,Newark,New Jersey,17f207fc64f1c8bbd15cd40e122ec65f,6/19/2017
Gothart Whimpenny,Department C,$88.42,84,2 Hovde Crossing,Saint Petersburg,Florida,1ff8fe144b0305e9621fe42ac30535c9,9/9/2016
Zaneta Delmage,Department B,$81.79,7,12 Fuller Circle,Flint,Michigan,884497384669f6e13d50c3efdc397cdc,3/7/2017
Rutherford Kermath,Department D,$95.50,14,314 Cody Center,Brooklyn,New York,2ab337e46741ae9fec112108941d8cc4,5/12/2017
Shane Simkins,Department B,$43.63,56,250 Sachs Pass,Richmond,Virginia,584312766aa25ebd3e5978097722b569,8/17/2016
Krystle Boothe,Department D,$30.07,92,2328 Garrison Way,Kansas City,Kansas,5486a24bad0cf5e4990d3d034cc83047,9/3/2016
Gothart Whimpenny,Department C,$20.07,16,64 Bluejay Junction,Tacoma,Washington,60dcb7d5251c4117af0c4b2a5d5b5897,3/2/2017
Shane Simkins,Department B,$48.07,10,5 Fallview Parkway,Sacramento,California,225b3c7b1bda628ce49a1897e0ff342b,1/3/2016
Krystle Boothe,Department D,$36.58,99,8016 Northfield Court,New Orleans,Louisiana,75cce20c5acde02951294998b9d3c1a5,8/20/2016
Powell Amorts,Department B,$92.21,49,2 Hazelcrest Hill,Rockford,Illinois,920fde2853bdd79ebc58161b4ba18cfd,5/13/2016
Ortensia Le,Department C,$43.04,13,12 Mccormick Junction,Lancaster,Pennsylvania,11f7779d32521f495a3e8ef3706d3ce2,1/26/2016
Gothart Whimpenny,Department C,$66.28,92,61 Arapahoe Junction,Bakersfield,California,6ca03acc7ba8bbd25a8cc7f01e5257f9,9/2/2016
Krystle Boothe,Department D,$38.61,76,984 Montana Plaza,Bradenton,Florida,6665c9ae557903510ee3631fe2aa1e18,9/17/2016
Gothart Whimpenny,Department C,$98.30,82,4 6th Way,Jamaica,New York,cc2a972f240892fda1200987a9bc651e,7/28/2017
Jacquette Oakley,Department C,$7.59,73,2 Forest Dale Drive,Topeka,Kansas,9a25129fcd9f2b26029b87adabb0abd9,4/18/2016
,,,95,0 Towne Lane,Savannah,Georgia,8ceeb58bbbf4b2d639f89b4e5edd7415,12/11/2016
Rutherford Kermath,Department D,$15.54,56,8 Arkansas Circle,Peoria,Illinois,678c0d9c83ff65ed4c8f25683bc8bca4,3/6/2017
Ashleigh Baudinot,Department D,$41.31,8,0 Cordelia Pass,Santa Clara,California,2889fec793f5418377941242f7a49c77,3/5/2016
Zebedee Kedge,Department A,$30.54,72,4328 Bultman Street,Pensacola,Florida,8bb5e15a2c508f203943d560e76a646e,7/28/2017
Dallas Le,Department B,$97.03,63,8507 Hayes Parkway,Albany,New York,fdb82782da174630704db693642ef6cc,4/1/2017
Celestyna Erskine,Department C,$30.34,58,00311 Forest Dale Road,Temple,Texas,e045ddc98f9f1bcbeb13d42a8efa4b7c,12/22/2016
Shane Simkins,Department B,$45.82,100,163 Cottonwood Lane,Brooklyn,New York,aefec369f84b99e24721aa7cbfda288b,7/3/2017
Chad Yeatman,Department A,$40.98,32,8 Bowman Crossing,Richmond,Virginia,568ae43d7f5b4feca50ae97b58c0622c,11/21/2016
Brear Fairs,Department D,$92.58,11,0 Old Gate Point,Des Moines,Iowa,0c848559e28e1380fe3369005ddf3e14,4/6/2016
Brear Fairs,Department D,$98.85,69,6905 Manufacturers Street,Denver,Colorado,c6a9ec2c8696575cdb9fdaf2d245f707,9/19/2016
Brear Fairs,Department D,$77.87,4,19025 Independence Center,Santa Ana,California,ff4de3a4222572556ce410fef7ac9d5f,8/11/2016
Linn Becerra,Department B,$21.17,70,62 Pankratz Hill,Baltimore,Maryland,8f4d35cd1071094828b2e926f1dde18c,5/18/2016
Brear Fairs,Department D,$28.87,29,9241 International Pass,Palatine,Illinois,3dce6b2e24452a35c4f54bf2bed9b5c2,11/13/2016
Atlante Harower,Department D,$39.07,42,6818 Fallview Lane,Los Angeles,California,a05cae269af1e0cc56657121c444e15e,3/22/2016
Ortensia Le,Department C,$95.27,74,90975 Beilfuss Way,Pueblo,Colorado,70e5da6c1123015f907cbe8d162ae564,1/10/2017
Modesty Berringer,Department D,$53.31,11,8650 Bunker Hill Park,Miami,Florida,715b56065fe4cf183ca3d9d593473275,9/13/2016
Dallas Le,Department B,$24.75,45,553 Scott Court,Knoxville,Tennessee,3ea953da1ccb21513301de782f9bb658,5/31/2016
Celestyna Erskine,Department C,$25.76,71,678 Buell Street,Appleton,Wisconsin,2905294cba6eac3c2b28ea0eecdd2937,4/5/2017
Krystle Boothe,Department D,$85.32,82,8309 Lukken Place,Topeka,Kansas,c998f6f088142d932f5b6e2cb2a1e77e,3/1/2017
Ignacio Arpur,Department A,$29.09,29,93952 Huxley Plaza,Torrance,California,72f105be8113d974f50b6a812309aa75,5/23/2016
Modesty Berringer,Department D,$5.45,67,14859 Talisman Parkway,Dallas,Texas,b013a8ec93a575ea52c6a7e856115966,7/10/2016
Brear Fairs,Department D,$86.22,18,4 Spenser Pass,Fort Wayne,Indiana,a2fd8d82546817fdb06736bdcce8cd8b,10/3/2016
Shena Reeson,Department B,$2.27,11,1944 Bonner Junction,Plano,Texas,cf726a276cd2b2206ef8d98853796a54,8/9/2017
Modesty Berringer,Department D,$66.33,21,173 Waubesa Lane,Fort Smith,Arkansas,727fab588cdac9f3dd51f63bb3887f8c,1/31/2016
Zaneta Delmage,Department B,$62.60,48,4789 Loeprich Junction,Staten Island,New York,cabc15088ebad3649d59311eb9ce7c4e,5/30/2017
Atlante Harower,Department D,$60.18,40,936 Roxbury Pass,Houston,Texas,dd04b00e89a56127f9dcc07ee10d36dc,6/22/2017
Bartholemy Kment,Department B,$34.53,98,99451 Jay Park,Monroe,Louisiana,659616915789b4d0516cc6bb52a5e58c,3/24/2016
Linn Becerra,Department B,$59.89,84,68270 New Castle Pass,Asheville,North Carolina,b94b2d74fd973d83e5436f23c5b0964d,10/31/2016
Chad Yeatman,Department A,$49.76,72,74 Corscot Hill,Chicago,Illinois,c35016dbcf1be7c27d4339980b38e2db,7/1/2016
Atlante Harower,Department D,$45.82,42,01182 Stephen Drive,Charleston,West Virginia,742eb00a161777043d6612b4963cffe8,6/26/2017
Bartholemy Kment,Department B,$47.52,14,59475 Portage Road,Phoenix,Arizona,fb5ecff1a23a4528d35e7b703ec19aeb,6/7/2017
Ashleigh Baudinot,Department D,$20.44,39,2 Pond Trail,Longview,Texas,d4ee3946a4b3b599bdaa745f1b69fb15,11/15/2016
Celestyna Erskine,Department C,$1.70,8,9 Lien Avenue,Modesto,California,e6cbf385e519558026605f8e0d896766,6/7/2016
Nell Lindup,Department C,$80.88,75,08880 Brown Lane,Richmond,California,aa85d771c21f62b7ea3a9b80e6d808ac,8/6/2016
Shane Simkins,Department B,$30.80,36,4 Redwing Avenue,San Antonio,Texas,b3b8eada73d43207c790c936a24025af,1/16/2016
Chad Yeatman,Department A,$81.63,12,4 School Drive,Florence,South Carolina,0890252daeb805bcfc3b33056a89c531,11/25/2016
Atlante Harower,Department D,$77.28,26,68851 Butterfield Place,Longview,Texas,09ead75ff83892cf33b5db6f939997d1,4/17/2017
Powell Amorts,Department B,$92.15,29,76513 Westend Park,San Francisco,California,7a9da5e1e43d2647994867b38724a3b0,4/20/2016
Rutherford Kermath,Department D,$14.87,45,772 Miller Park,New York City,New York,71dcdbd29acb5615a4b94617d3ba089d,9/1/2016
Powell Amorts,Department B,$99.15,12,94242 Rusk Junction,Sacramento,California,5ce5cc8719f152bfcfaa3abd396bb63d,6/7/2017
Gothart Whimpenny,Department C,$32.00,67,6202 Carberry Circle,Boise,Idaho,c6277b667a23458fa79ef0b89d20f23d,8/23/2017
Ortensia Le,Department C,$66.59,60,72607 Ridge Oak Place,Columbia,South Carolina,c601518530d92a814b8b629056b8b095,2/12/2016
Jacquette Oakley,Department C,$28.85,79,15693 Golf View Terrace,Bakersfield,California,0ccd1fc6d020e496939dc9fb95c7599e,8/30/2016
Shane Simkins,Department B,$69.13,52,96 Michigan Court,El Paso,Texas,f2bbe0743f6dd85cd32f741c65f285ed,2/7/2016
Gothart Whimpenny,Department C,$56.44,47,5 Harbort Court,Columbus,Ohio,a58cbdc3ca296af5ff106c02a898ce58,2/27/2016
Linn Becerra,Department B,$15.56,82,2491 Barnett Hill,Memphis,Tennessee,f1509903fd1756157f12981c69ec584d,5/11/2016
Linn Becerra,Department B,$75.40,90,220 Hanover Park,Kissimmee,Florida,6d67c84553ce686585606636a1e42a10,3/20/2016
Krystle Boothe,Department D,$19.63,8,8801 Old Gate Lane,Boise,Idaho,8270214410b03ab1432eab15167fc8cc,12/14/2016
Celestyna Erskine,Department C,$20.55,40,49 Mendota Circle,Indianapolis,Indiana,9eab8852cb70094a24c61e898c365eae,11/22/2016
Powell Amorts,Department B,$34.55,46,924 Bluestem Circle,Sacramento,California,b29b2ca3c145e5f680f898c4fe334af4,4/15/2017
Jacquette Oakley,Department C,$31.56,99,5662 Jay Pass,Dayton,Ohio,173fbe72ed9225b8629dfc5d01eda3e9,4/7/2016
Dallas Le,Department B,$72.65,40,7835 Steensland Park,Albany,Georgia,0f6a3f3ebb5602f98c25028ba95f0b26,1/31/2016
Shane Simkins,Department B,$10.62,82,1365 Carberry Place,Springfield,Missouri,ae408fe2dcd6604ec43b8492b1bdf1a7,8/1/2017
Powell Amorts,Department B,$14.26,10,93907 Golf Course Road,Tampa,Florida,88883365c1a6f03a2920ade17bd62cb4,8/19/2016
Atlante Harower,Department D,$4.47,36,7 David Park,Garland,Texas,495e6e827a80f4352880008251e57f01,1/17/2016
Gothart Whimpenny,Department C,$65.24,28,522 Marcy Lane,Minneapolis,Minnesota,98b6f7fa2652369eb1c898bbec5dbb6c,4/9/2017
Jacquette Oakley,Department C,$37.21,54,188 Bartelt Trail,San Francisco,California,79f051a6b34dfcb79254c298764f010d,3/11/2017
Jacquette Oakley,Department C,$0.80,5,4572 Dayton Street,Hartford,Connecticut,fb870b0710f1e38e99a70dae460843a3,4/5/2017
Bartholemy Kment,Department B,$54.68,44,4 Heath Street,Brooklyn,New York,73f73bc92ff66a04eab6cb96d0e59e1e,1/27/2017
Gothart Whimpenny,Department C,$52.63,4,8917 Sugar Hill,Evansville,Indiana,8ba075133ecba64d6c805d3078fa1e65,7/27/2017
,,,29,4 Lakewood Point,Seattle,Washington,16ae3d583d75355ebc41b92374cd26c2,12/21/2016
Jacquette Oakley,Department C,$39.96,28,98388 Hauk Circle,Roanoke,Virginia,5f6384cb717bd5b43383d973cbb90c20,5/28/2017
Powell Amorts,Department B,$84.51,79,1531 Barnett Point,Scottsdale,Arizona,74453c56402c92d7f39d53847c4df0bb,5/6/2017
Shane Simkins,Department B,$30.17,35,70020 Warrior Terrace,Huntsville,Alabama,5644866a28fec7b1d1f469790f3da6ee,5/29/2016
Chad Yeatman,Department A,$59.98,2,11 Burrows Crossing,Phoenix,Arizona,cfc12bc2f65913878b1e33b8a8bf0b15,7/2/2017
Gothart Whimpenny,Department C,$8.67,40,959 Buhler Road,Memphis,Tennessee,822bb2c7272ababcc573c9a267a477c9,1/9/2016
Rutherford Kermath,Department D,$22.11,26,43 Mcguire Terrace,Sacramento,California,fcce3a2c7516e25516b17cf5769dce7c,2/17/2016
Zebedee Kedge,Department A,$42.08,71,832 Sycamore Drive,Miami,Florida,dfa3b4a71c81e57bfe720ba3e886a8bb,5/14/2016
Atlante Harower,Department D,$87.92,81,0 Maryland Center,Great Neck,New York,41517312a051d445f4fa40072f89cc52,4/5/2016
Celestyna Erskine,Department C,$98.13,4,39 Gateway Center,Washington,District of Columbia,e1a6d0bf193e30dd9725b2e0e0ceec5e,3/31/2017
Jacquette Oakley,Department C,$39.44,32,889 Barby Road,Roanoke,Virginia,341b66629b7008de4e53a8fe402bdf9f,1/20/2017
Brear Fairs,Department D,$75.48,14,675 Emmet Place,Lexington,Kentucky,eb4364a998491e2219f357e8186f82e1,4/2/2017
